Codigo;Fecha;CodMovim;Detalle;Letra;Id;Importe;Saldo;TipoMovim;TipoFPago;FechaVto;Operacion;CuentaContable;NroRenglonAsiento;EsPago;EsDocumento;Sucursal;DiasPromedio;PromedioReal;IDENTIFICADOR;NRO_INTERNO;ID_BIEN;TIPO_BIEN;TIPO_PLAN;TIPO_CUOTA;ANO_CUOTA;NRO_CUOTA;ESTADO_DEUDA;FECHA_ACTUALIZACION_DEUDA;NRO_OPERACION;Categoria;IdTrans;Nro_Dev;NRO_TALONARIO;FechaPago;NUMERO;NRO_RECIBO;NRO_EXPEDIENTE;CuentaContableAC;CuentaContableV;TablaLiq;NumeroPago;Dominio;ACTUALIZACION_COBRADO;NumeroPagoTmp;Observaciones;Ejercicio;FechaP;RecIntereses;MOF;LOF
73;7/2/2024 00:00;D;PAGO 2024 000 ININ;NULL;NULL;14256;0;CO;NULL;7/2/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;100012380;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4906;NULL;NULL;NULL;100012380;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202402;NULL;NULL;NULL;NULL
0;7/2/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;7200;0;CO;NULL;7/2/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000581;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4907;NULL;NULL;NULL;2500000581;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202402;NULL;NULL;NULL;NULL
0;5/2/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;4600;0;CO;NULL;5/2/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000580;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4908;NULL;NULL;NULL;2500000580;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202402;NULL;NULL;NULL;NULL
4;2/2/2024 00:00;D;PAGO 2024 000 OBSA (Obras de Agua);NULL;NULL;14256;0;CO;NULL;2/2/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;500004909;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4909;NULL;NULL;NULL;500004909;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202402;NULL;NULL;NULL;NULL
4;2/2/2024 00:00;D;PAGO 2024 002 CICI (comercio industria);NULL;NULL;10800;0;CO;NULL;2/2/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;200000738;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4910;NULL;NULL;NULL;200000738;NULL;NULL;NULL;NULL;NULL;745;NULL;NULL;565656;NULL;202402;NULL;NULL;NULL;NULL
4;2/2/2024 00:00;D;PAGO 2024 001 CICI;NULL;NULL;10800;0;CO;NULL;2/2/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;200000737;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4911;NULL;NULL;NULL;200000737;NULL;NULL;NULL;NULL;NULL;745;NULL;NULL;565656;NULL;202402;NULL;NULL;NULL;NULL
4;2/2/2024 00:00;D;PAGO 2024 000 ININ (inmueble);NULL;NULL;7128;0;CO;NULL;2/2/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;100012020;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4912;NULL;NULL;NULL;100012020;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202402;NULL;NULL;NULL;NULL
0;1/2/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;9900;0;CO;NULL;1/2/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000579;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4913;NULL;NULL;NULL;2500000579;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202402;NULL;NULL;NULL;NULL
33;31/1/2024 00:00;D;PAGO 2023 006 OBSA;NULL;NULL;1100;0;CO;NULL;31/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;500004025;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4914;NULL;NULL;NULL;500004025;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
33;31/1/2024 00:00;D;PAGO 2023 004 ININ;NULL;NULL;1727,55;0;CO;NULL;31/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;100011753;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4915;NULL;NULL;NULL;100011753;NULL;NULL;NULL;NULL;NULL;12410;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
